image_path,skeletal_image_path,label,nose_x,nose_y,neck_x,neck_y,r_shoulder_x,r_shoulder_y,r_elbow_x,r_elbow_y,r_wrist_x,r_wrist_y,l_shoulder_x,l_shoulder_y,l_elbow_x,l_elbow_y,l_wrist_x,l_wrist_y,l_hand_0_x,l_hand_0_y,l_hand_1_x,l_hand_1_y,l_hand_2_x,l_hand_2_y,l_hand_3_x,l_hand_3_y,l_hand_4_x,l_hand_4_y,l_hand_5_x,l_hand_5_y,l_hand_6_x,l_hand_6_y,l_hand_7_x,l_hand_7_y,l_hand_8_x,l_hand_8_y,l_hand_9_x,l_hand_9_y,l_hand_10_x,l_hand_10_y,l_hand_11_x,l_hand_11_y,l_hand_12_x,l_hand_12_y,l_hand_13_x,l_hand_13_y,l_hand_14_x,l_hand_14_y,l_hand_15_x,l_hand_15_y,l_hand_16_x,l_hand_16_y,l_hand_17_x,l_hand_17_y,l_hand_18_x,l_hand_18_y,l_hand_19_x,l_hand_19_y,l_hand_20_x,l_hand_20_y,r_hand_0_x,r_hand_0_y,r_hand_1_x,r_hand_1_y,r_hand_2_x,r_hand_2_y,r_hand_3_x,r_hand_3_y,r_hand_4_x,r_hand_4_y,r_hand_5_x,r_hand_5_y,r_hand_6_x,r_hand_6_y,r_hand_7_x,r_hand_7_y,r_hand_8_x,r_hand_8_y,r_hand_9_x,r_hand_9_y,r_hand_10_x,r_hand_10_y,r_hand_11_x,r_hand_11_y,r_hand_12_x,r_hand_12_y,r_hand_13_x,r_hand_13_y,r_hand_14_x,r_hand_14_y,r_hand_15_x,r_hand_15_y,r_hand_16_x,r_hand_16_y,r_hand_17_x,r_hand_17_y,r_hand_18_x,r_hand_18_y,r_hand_19_x,r_hand_19_y,r_hand_20_x,r_hand_20_y
C:\Users\navne\Pictures\Kathakali\Uniform_Images\Aakasham\Aakasham_1\Aakasham_1_0.jpg,C:\Users\navne\Pictures\Kathakali\Uniform_Skeletal_Images\Aakasham\Aakasham_1\Aakasham_1_0.jpg,Aakasham_A,0.528392362,0.214353183,0.535110201,0.291946985,0.474649652,0.292658854,0.410456971,0.281268939,0.462706828,0.197268309,0.595570749,0.291235115,0.635877782,0.296930073,0.570192247,0.202963267,0.568699394,0.201539527,0.5716851,0.183030914,0.57616366,0.161674822,0.57616366,0.146013688,0.579149366,0.131776293,0.55675657,0.155979864,0.547799452,0.146013688,0.541828039,0.13889499,0.532870921,0.131776293,0.543320892,0.163098561,0.534363774,0.151708646,0.525406656,0.144589948,0.517942391,0.137471251,0.534363774,0.171640998,0.523913803,0.161674822,0.517942391,0.155979864,0.510478125,0.148861167,0.528392362,0.183030914,0.519435244,0.177335956,0.513463831,0.171640998,0.510478125,0.16594604,0.467185387,0.19442083,0.467185387,0.175912217,0.465692534,0.161674822,0.46867824,0.147437427,0.473156799,0.133200032,0.473156799,0.148861167,0.480621064,0.136047511,0.486592477,0.127505074,0.492563889,0.120386377,0.479128211,0.151708646,0.485099623,0.13889499,0.492563889,0.130352553,0.498535301,0.123233856,0.48360677,0.157403604,0.489578183,0.143166209,0.498535301,0.134623772,0.501521007,0.127505074,0.486592477,0.164522301,0.492563889,0.154556125,0.498535301,0.146013688,0.50301386,0.141742469
C:\Users\navne\Pictures\Kathakali\Uniform_Images\Aakasham\Aakasham_1\Aakasham_1_10.jpg,C:\Users\navne\Pictures\Kathakali\Uniform_Skeletal_Images\Aakasham\Aakasham_1\Aakasham_1_10.jpg,Aakasham_A,0.526529218,0.2143015,0.532603938,0.290340958,0.473375422,0.293961885,0.406553507,0.28382329,0.456669943,0.196921052,0.591832453,0.286720032,0.63435549,0.296858626,0.569052255,0.204162906,0.566014895,0.202714535,0.567533575,0.183885717,0.572089615,0.163608528,0.573608295,0.147676451,0.575126975,0.134641115,0.553865456,0.159263416,0.547790737,0.147676451,0.541716017,0.140434598,0.532603938,0.133192745,0.541716017,0.163608528,0.535641298,0.150573192,0.528047898,0.143331339,0.520454499,0.136089486,0.534122618,0.16940201,0.525010538,0.157815045,0.518935819,0.152021563,0.512861099,0.147676451,0.528047898,0.180988976,0.518935819,0.172298752,0.514379779,0.166505269,0.511342419,0.160711787,0.461225983,0.196921052,0.467300703,0.178092234,0.470338062,0.162160157,0.474894102,0.152021563,0.480968822,0.137537857,0.471856742,0.149124822,0.479450142,0.136089486,0.487043541,0.125950892,0.493118261,0.120157409,0.476412782,0.152021563,0.484006181,0.137537857,0.491599581,0.128847633,0.49615562,0.12160578,0.480968822,0.156366675,0.487043541,0.141882968,0.494636941,0.133192745,0.49919298,0.127399262,0.484006181,0.163608528,0.488562221,0.153469934,0.494636941,0.14622808,0.49919298,0.140434598
C:\Users\navne\Pictures\Kathakali\Uniform_Images\Aakasham\Aakasham_1\Aakasham_1_15.jpg,C:\Users\navne\Pictures\Kathakali\Uniform_Skeletal_Images\Aakasham\Aakasham_1\Aakasham_1_15.jpg,Aakasham_A,0.528380923,0.21207454,0.532921708,0.291468192,0.472377917,0.292911713,0.407293341,0.282807066,0.458755564,0.194752289,0.593465499,0.290024671,0.632818963,0.297242276,0.567734388,0.200526372,0.566220793,0.199082852,0.567734388,0.183204121,0.569247983,0.164438349,0.569247983,0.150003139,0.569247983,0.137011451,0.55259844,0.158664265,0.548057656,0.147116097,0.542003276,0.138454972,0.532921708,0.132680888,0.543516871,0.161551307,0.535948897,0.150003139,0.528380923,0.139898493,0.52081295,0.132680888,0.537462492,0.167325391,0.526867329,0.157220744,0.52081295,0.148559618,0.51475857,0.138454972,0.529894518,0.177430037,0.522326544,0.168768912,0.51778576,0.161551307,0.51475857,0.155777223,0.463296348,0.194752289,0.464809943,0.177430037,0.463296348,0.162994828,0.466323538,0.150003139,0.470864322,0.137011451,0.469350727,0.15144666,0.475405106,0.137011451,0.48297308,0.126906804,0.489027459,0.119689199,0.475405106,0.154333702,0.48297308,0.139898493,0.490541054,0.128350325,0.496595433,0.12113272,0.481459485,0.158664265,0.489027459,0.144229056,0.496595433,0.132680888,0.502649812,0.125463283,0.484486675,0.16588187,0.490541054,0.154333702,0.498109028,0.145672577,0.502649812,0.139898493
C:\Users\navne\Pictures\Kathakali\Uniform_Images\Aakasham\Aakasham_1\Aakasham_1_180.jpg,C:\Users\navne\Pictures\Kathakali\Uniform_Skeletal_Images\Aakasham\Aakasham_1\Aakasham_1_180.jpg,Aakasham_C,0.535394782,0.198993013,0.536884642,0.295613172,0.459411938,0.28566698,0.331284006,0.262932825,0.285098356,0.166312665,0.614357345,0.305559365,0.72758668,0.304138481,0.769302751,0.210360091,0.769302751,0.200413898,0.77526219,0.183363282,0.779731769,0.16773355,0.787181067,0.159208242,0.794630366,0.153524703,0.802079664,0.173417089,0.808039103,0.16773355,0.808039103,0.160629127,0.808039103,0.154945588,0.802079664,0.181942397,0.800589804,0.174837974,0.791650646,0.17057532,0.785691208,0.169154435,0.799099945,0.189046821,0.796120225,0.180521512,0.785691208,0.176258858,0.778241909,0.174837974,0.793140506,0.194730359,0.790160787,0.187625936,0.782711488,0.183363282,0.77675205,0.180521512,0.285098356,0.159208242,0.279138917,0.140736741,0.273179479,0.123686125,0.26722004,0.113739932,0.259770742,0.108056393,0.249341724,0.129369663,0.247851864,0.12226524,0.256791022,0.118002586,0.26573018,0.118002586,0.249341724,0.137894972,0.259770742,0.130790548,0.274669338,0.129369663,0.285098356,0.130790548,0.253811303,0.14642028,0.26722004,0.139315856,0.280628777,0.136474087,0.291057795,0.137894972,0.259770742,0.156366473,0.271689619,0.149262049,0.282118637,0.14642028,0.291057795,0.144999395
C:\Users\navne\Pictures\Kathakali\Uniform_Images\Aakasham\Aakasham_1\Aakasham_1_185.jpg,C:\Users\navne\Pictures\Kathakali\Uniform_Skeletal_Images\Aakasham\Aakasham_1\Aakasham_1_185.jpg,Aakasham_C,0.537519093,0.196805044,0.539009951,0.296333633,0.462976183,0.286380774,0.334762378,0.262209545,0.287054915,0.16552463,0.615043719,0.306286492,0.726858084,0.306286492,0.768602114,0.212445251,0.770092972,0.202492392,0.773074688,0.186852185,0.777547263,0.171211978,0.783510696,0.162680956,0.78798327,0.156993608,0.799910136,0.175477489,0.805873569,0.169790141,0.802891852,0.162680956,0.799910136,0.156993608,0.801400994,0.184008511,0.798419278,0.178321163,0.786492412,0.174055652,0.779038121,0.171211978,0.798419278,0.192539533,0.793946703,0.185430348,0.783510696,0.181164837,0.774565546,0.178321163,0.793946703,0.199648718,0.790964987,0.192539533,0.782019837,0.188274022,0.773074688,0.185430348,0.288545773,0.156993608,0.284073199,0.141353402,0.279600624,0.125713195,0.276618908,0.117182173,0.272146333,0.112916662,0.252765177,0.127135032,0.24978346,0.120025847,0.257237751,0.117182173,0.269164617,0.117182173,0.252765177,0.135666054,0.263201184,0.128556869,0.279600624,0.127135032,0.290036632,0.128556869,0.255746893,0.144197075,0.269164617,0.137087891,0.284073199,0.134244217,0.294509206,0.135666054,0.261710326,0.152728097,0.272146333,0.145618912,0.284073199,0.142775238,0.293018348,0.142775238
C:\Users\navne\Pictures\Kathakali\Uniform_Images\Aakasham\Aakasham_1\Aakasham_1_195.jpg,C:\Users\navne\Pictures\Kathakali\Uniform_Skeletal_Images\Aakasham\Aakasham_1\Aakasham_1_195.jpg,Aakasham_C,0.540195756,0.195856342,0.539446721,0.295866387,0.462296114,0.285865383,0.336458232,0.263005944,0.291516132,0.164424613,0.616597327,0.305867392,0.728952579,0.304438677,0.767902399,0.210143491,0.767902399,0.200142487,0.772396609,0.182997908,0.776890819,0.167282043,0.78438117,0.158709754,0.79187152,0.151566179,0.7978638,0.174425618,0.80385608,0.168710758,0.80235801,0.165853328,0.79936187,0.162995899,0.79936187,0.181569193,0.80085994,0.174425618,0.79187152,0.171568188,0.78587924,0.170139473,0.7978638,0.188712767,0.7978638,0.182997908,0.78887538,0.178711763,0.7828831,0.175854333,0.79336959,0.194427627,0.79187152,0.188712767,0.78737731,0.184426622,0.781385029,0.181569193,0.293014202,0.155852324,0.285523852,0.138707745,0.281029641,0.121563166,0.276535431,0.115848306,0.272041221,0.111562161,0.254064381,0.130135455,0.252566311,0.12584931,0.261554731,0.124420595,0.273539291,0.124420595,0.255562451,0.14013646,0.266048941,0.132992885,0.281029641,0.12870674,0.291516132,0.130135455,0.260056661,0.148708749,0.273539291,0.14013646,0.287021922,0.13727903,0.297508412,0.135850315,0.267547011,0.155852324,0.278033501,0.148708749,0.288519992,0.144422604,0.297508412,0.14299389
C:\Users\navne\Pictures\Kathakali\Uniform_Images\Aakasham\Aakasham_1\Aakasham_1_20.jpg,C:\Users\navne\Pictures\Kathakali\Uniform_Skeletal_Images\Aakasham\Aakasham_1\Aakasham_1_20.jpg,Aakasham_A,0.528054777,0.211159772,0.534890811,0.293016367,0.474885617,0.29663834,0.405006149,0.280701658,0.45665619,0.193774301,0.594896006,0.289394394,0.632873978,0.29663834,0.569070986,0.202467037,0.567551867,0.201018248,0.569070986,0.183632776,0.570590105,0.164798516,0.570590105,0.148861834,0.570590105,0.137271519,0.555398916,0.159003358,0.549322441,0.147413044,0.543245965,0.138720309,0.534131252,0.131476362,0.544765084,0.161900937,0.53716949,0.150310623,0.529573895,0.140169098,0.521978301,0.132925151,0.53716949,0.169144883,0.528054777,0.157554569,0.521978301,0.150310623,0.515901826,0.140169098,0.529573895,0.179286408,0.521978301,0.170593673,0.517420945,0.163349726,0.514382707,0.15610578,0.462732666,0.193774301,0.465770904,0.17638883,0.468809141,0.160452148,0.473366498,0.148861834,0.476404736,0.137271519,0.467290022,0.148861834,0.473366498,0.13582273,0.480962092,0.125681205,0.487038568,0.116988469,0.471847379,0.150310623,0.479442973,0.137271519,0.487038568,0.125681205,0.491595924,0.118437259,0.474885617,0.154656991,0.482481211,0.138720309,0.488557686,0.128578784,0.493115043,0.121334837,0.477923854,0.160452148,0.48400033,0.147413044,0.488557686,0.138720309,0.493115043,0.134373941
C:\Users\navne\Pictures\Kathakali\Uniform_Images\Aakasham\Aakasham_1\Aakasham_1_200.jpg,C:\Users\navne\Pictures\Kathakali\Uniform_Skeletal_Images\Aakasham\Aakasham_1\Aakasham_1_200.jpg,Aakasham_C,0.539785352,0.193177379,0.538288714,0.295946478,0.461960209,0.285955038,0.33624267,0.26311746,0.291343549,0.164630407,0.61461722,0.305937918,0.725368385,0.305937918,0.768770869,0.213160259,0.770267506,0.204596168,0.774757418,0.187467984,0.77924733,0.17176715,0.78523388,0.163203058,0.789723792,0.156066315,0.795710341,0.177476544,0.803193528,0.170339801,0.804690166,0.166057755,0.80768344,0.160348361,0.797206979,0.184613287,0.798703616,0.177476544,0.794213704,0.17176715,0.792717067,0.167485104,0.794213704,0.190322682,0.794213704,0.184613287,0.789723792,0.178903893,0.78523388,0.174621847,0.789723792,0.196032076,0.789723792,0.190322682,0.78523388,0.186040636,0.782240605,0.18175859,0.292840186,0.156066315,0.286853637,0.138938132,0.282363725,0.123237297,0.277873812,0.114673206,0.271887263,0.111818509,0.255424252,0.127519343,0.247941065,0.121809949,0.252430977,0.118955252,0.259914164,0.1203826,0.256920889,0.136083435,0.265900714,0.128946692,0.280867087,0.127519343,0.292840186,0.128946692,0.261410801,0.143220178,0.2733839,0.136083435,0.286853637,0.133228738,0.295833461,0.134656086,0.267397351,0.151784269,0.277873812,0.144647526,0.288350274,0.141792829,0.295833461,0.140365481
C:\Users\navne\Pictures\Kathakali\Uniform_Images\Aakasham\Aakasham_1\Aakasham_1_205.jpg,C:\Users\navne\Pictures\Kathakali\Uniform_Skeletal_Images\Aakasham\Aakasham_1\Aakasham_1_205.jpg,Aakasham_C,0.538209673,0.197243902,0.536711806,0.295097584,0.46032061,0.284383678,0.335997684,0.262955864,0.291061687,0.16153088,0.613103002,0.305811491,0.726940862,0.30438297,0.764387526,0.20867207,0.767383259,0.201529465,0.770378992,0.185815735,0.774872592,0.170102005,0.779366192,0.162959401,0.782361925,0.157245317,0.794344858,0.172959047,0.801834191,0.167244963,0.801834191,0.160102359,0.801834191,0.154388275,0.794344858,0.181530172,0.792846991,0.174387568,0.785357658,0.170102005,0.779366192,0.167244963,0.791349125,0.188672777,0.788353391,0.181530172,0.779366192,0.17724461,0.771876859,0.175816089,0.786855525,0.194386861,0.783859792,0.188672777,0.776370459,0.184387214,0.770378992,0.182958693,0.292559554,0.154388275,0.288065954,0.135817504,0.282074487,0.118675253,0.277580888,0.111532648,0.271589421,0.105818565,0.256610756,0.125817857,0.249121423,0.121532294,0.253615022,0.120103774,0.261104355,0.120103774,0.256610756,0.135817504,0.265597955,0.128674899,0.282074487,0.127246378,0.291061687,0.128674899,0.261104355,0.144388629,0.273087288,0.137246024,0.286568087,0.134388983,0.295555287,0.135817504,0.267095822,0.152959754,0.277580888,0.14581715,0.288065954,0.142960108,0.297053153,0.141531587
C:\Users\navne\Pictures\Kathakali\Uniform_Images\Aakasham\Aakasham_1\Aakasham_1_25.jpg,C:\Users\navne\Pictures\Kathakali\Uniform_Skeletal_Images\Aakasham\Aakasham_1\Aakasham_1_25.jpg,Aakasham_A,0.530504842,0.208633044,0.532776279,0.292395768,0.468418913,0.295284138,0.388161492,0.280842289,0.457818876,0.197079564,0.597133645,0.289507398,0.647105247,0.296728322,0.578962153,0.204300489,0.575933571,0.202856304,0.572904989,0.18985864,0.569876408,0.172528421,0.568362117,0.160974942,0.566847826,0.147977278,0.553219207,0.165307497,0.547162043,0.155198202,0.538076297,0.146533093,0.530504842,0.139312168,0.547162043,0.166751681,0.539590588,0.156642387,0.530504842,0.146533093,0.521419097,0.137867983,0.545647752,0.171084236,0.536562006,0.160974942,0.528990552,0.152309832,0.522933388,0.143644723,0.544133461,0.179749346,0.535047715,0.171084236,0.530504842,0.162419127,0.528990552,0.156642387,0.46387604,0.198523749,0.469933204,0.1840819,0.475990368,0.169640051,0.482047532,0.159530757,0.486590405,0.150865648,0.475990368,0.156642387,0.483561823,0.143644723,0.489618986,0.133535429,0.494161859,0.126314504,0.47901895,0.158086572,0.486590405,0.143644723,0.494161859,0.133535429,0.498704732,0.126314504,0.482047532,0.160974942,0.488104696,0.145088908,0.49567615,0.136423799,0.500219023,0.129202874,0.482047532,0.165307497,0.486590405,0.153754017,0.492647568,0.146533093,0.497190441,0.140756353
